"schoolid","CCT","Type"
1,"09DCB0001T","Bachilleres"
2,"09DCB0003G","Bachilleres"
3,"09DCB0005E","Bachilleres"
4,"09DCB0007C","Bachilleres"
5,"15DCB0001T","Bachilleres"
6,"09DCB0009A","Bachilleres"
7,"09DCB0011P","Bachilleres"
8,"09DCB0013N","Bachilleres"
9,"09DCB0015L","Bachilleres"
10,"09DCB0017J","Bachilleres"
11,"09DCB0019H","Bachilleres"
12,"15DCB0002S","Bachilleres"
13,"09DCB0021W","Bachilleres"
14,"09DCB0023U","Bachilleres"
15,"09DCB0025S","Bachilleres"
16,"09DCB0027Q","Bachilleres"
17,"09DCB0029O","Bachilleres"
18,"09DCB0031C","Bachilleres"
19,"15DCB0003R","Bachilleres"
20,"09DCB0033A","Bachilleres"
101,"09DPT0027J","CONALEP"
102,"09DPT0028I","CONALEP"
103,"09DPT0007W","CONALEP"
104,"09DPT0010J","CONALEP"
105,"09DPT0014F","CONALEP"
106,"09DPT0011I","CONALEP"
107,"15DPT0042M","CONALEP"
108,"09DPT0001B","CONALEP"
109,"09DPT0015E","CONALEP"
110,"09DPT0031W","CONALEP"
111,"09DPT0002A","CONALEP"
112,"09DPT0020Q","CONALEP"
113,"09DPT0005Y","CONALEP"
114,"09DPT0022O","CONALEP"
115,"09DPT0004Z","CONALEP"
116,"09DPT0016D","CONALEP"
117,"09DPT0021P","CONALEP"
118,"09DPT0029H","CONALEP"
119,"09DPT0013G","CONALEP"
120,"09DPT0024M","CONALEP"
121,"09DPT0019A","CONALEP"
122,"09DPT0030X","CONALEP"
123,"09DPT0017C","CONALEP"
124,"09DPT0018B","CONALEP"
125,"09DPT0008V","CONALEP"
126,"09DPT0006X","CONALEP"
127,"09DPT0023N","CONALEP"
128,"09DPT0003Z","CONALEP"
201,"09DBP0002L","DGB"
202,"09DBP0001M","DGB"
301,"15DTA0035A","CBTA"
401,"09DET0006R","CETIS"
402,"09DCT0040Z","CETIS"
403,"09DCT0021L","CETIS"
404,"09DCT0034P","CETIS"
405,"09DET0007Q","CETIS"
406,"09DET0055Z","CETIS"
407,"09DCT0030T","CETIS"
408,"09DCT0020M","CETIS"
409,"09DET0005S","CETIS"
410,"09DET0009O","CETIS"
411,"09DET0004T","CETIS"
412,"09DCT0031S","CETIS"
413,"09DCT0042Y","CETIS"
414,"09DCT0043X","CETIS"
415,"09DCT0044W","CETIS"
416,"09DCT0049R","CETIS"
417,"09DET0077L","CETIS"
418,"09DET0403Q","CETIS"
419,"09DET0076M","CETIS"
420,"09DET0107P","CETIS"
421,"09DCT0036N","CETIS"
422,"09DET0446O","CETIS"
423,"09DCT0041Z","CETIS"
424,"09DCT0045V","CETIS"
425,"09DCT0047T","CETIS"
426,"09DET0445P","CETIS"
427,"09DET0455W","CETIS"
428,"09DET0167D","CETIS"
429,"09DCT0018Y","CETIS"
430,"09DCT0048S","CETIS"
431,"09DCT0033Q","CETIS"
432,"09DET0447N","CETIS"
433,"09DCT0035O","CETIS"
434,"09DET0438F","CETIS"
435,"15DCT0003G","CETIS"
436,"15DCT0008B","CETIS"
437,"15DCT0001I","CBTIS"
438,"15DCT0211N","CETIS"
439,"15DCT0011P","CETIS"
440,"09DCT0030T","CBTIS"
441,"15DCT0214K","CBTIS"
442,"15DCT0007C","CETIS"
443,"15DET0404Z","CETIS"
444,"15DCT0005E","CETIS"
445,,"CBTIS"
446,"15DCT0012O","CETIS"
447,"15DETO165Q","CETIS"
448,"15DCT0210O","CBTIS"
449,"15DCT0216I","CBTIS"
450,"15DCT0004F","CETIS"
451,"15DCT0010Q","CETIS"
501,"09DCT0001Y","IPN"
502,"09DCT0002X","IPN"
503,"15DCT0218G","IPN"
504,"09DCT0004V","IPN"
505,"09DCT0005U","IPN"
506,"09DCT0006T","IPN"
507,"09DCT0007S","IPN"
508,"09DCT0008R","IPN"
509,"09DCT0009Q","IPN"
510,"09DCT0010F","IPN"
511,"09DCT0011E","IPN"
512,"09DCT0012D","IPN"
513,"09DCT0013C","IPN"
514,"09DCT0014B","IPN"
515,"09DCT0015A","IPN"
517,"09DCT0017Z","IPN"
601,,"UNAM"
602,,"UNAM"
603,,"UNAM"
604,,"UNAM"
605,,"UNAM"
606,,"UNAM"
607,,"UNAM"
608,,"UNAM"
609,,"UNAM"
610,,"UNAM"
611,,"UNAM"
612,,"UNAM"
613,,"UNAM"
614,,"UNAM"
615,,"UNAM"
129,"15DPT0017N","CONALEP"
130,"15DPT0040O","CONALEP"
131,"15DPT0018M","CONALEP"
132,"15DPT0015P","CONALEP"
133,"15DPT0016O","CONALEP"
134,"15DPT0043L","CONALEP"
135,"15DPT0003K","CONALEP"
136,"15DPT0004J","CONALEP"
137,"15DPT0019L","CONALEP"
138,"15DPT0036B","CONALEP"
139,"15DPT0030H","CONALEP"
140,"15DPT0005I","CONALEP"
141,"15DPT0041N","CONALEP"
142,"15DPT0032F","CONALEP"
143,"15DPT0023Y","CONALEP"
144,"15DPT0022Z","CONALEP"
145,"15DPT0006H","CONALEP"
146,"15DPT0024X","CONALEP"
147,"15DPT0025W","CONALEP"
148,"15DPT0038Z","CONALEP"
149,"15DPT0034D","CONALEP"
150,"15DPT0026V","CONALEP"
151,"15DPT0039Z","CONALEP"
152,"15DPT0027U","CONALEP"
153,"15DPT0012S","CONALEP"
154,"15DPT0028T","CONALEP"
155,"15DPT0033E","CONALEP"
156,"15DPT0037A","CONALEP"
157,"15DPT0029S","CONALEP"
701,"15EBH0207F","PREPARATORIA OFICIAL"
702,"15EBH0132F","PREPARATORIA OFICIAL"
703,"15EBH0176C","PREPARATORIA OFICIAL"
704,"15EBH0346G","ANEXA A LA NORMAL "
705,"15EBH0294R","PREPARATORIA OFICIAL"
706,"15EBH0223X","PREPARATORIA OFICIAL"
707,"15EBP0005S","ANEXA A LA NORMAL "
708,"15EBH0219K","PREPARATORIA OFICIAL"
709,"15EBH0134D","PREPARATORIA OFICIAL"
710,"15EBH0118M","PREPARATORIA OFICIAL"
711,"15EBH0218L","PREPARATORIA OFICIAL"
712,"15EBP0038J","ANEXA A LA NORMAL "
713,"15EBH0108F","PREPARATORIA OFICIAL"
714,"15EBH0121Z","PREPARATORIA OFICIAL"
715,"15EBH0161A","PREPARATORIA OFICIAL"
716,"15EBP0007Q","ANEXA A LA NORMAL "
717,"15EBH0114Q","PREPARATORIA OFICIAL"
718,"15EBH0123Y","PREPARATORIA OFICIAL"
719,"15EBH0157O","PREPARATORIA OFICIAL"
720,"15EBH0136B","PREPARATORIA OFICIAL"
721,"15EBH0154R","PREPARATORIA OFICIAL"
722,"15EBH0174E","PREPARATORIA OFICIAL"
723,"15EBH0194S","PREPARATORIA OFICIAL"
724,"15ECB0003Q","Bachilleres"
725,"15EBH0116O","PREPARATORIA OFICIAL"
726,"15EBH0115P","PREPARATORIA OFICIAL"
727,"15EBH0153S","PREPARATORIA OFICIAL"
728,"15EBH0185K","PREPARATORIA OFICIAL"
729,"15EBH0211S","PREPARATORIA OFICIAL"
730,"15EBH0217M","PREPARATORIA OFICIAL"
731,"15EBP0009O","ANEXA A LA NORMAL "
732,"15ECB0014W","Bachilleres"
733,"15ECB0002R","Bachilleres"
734,"15EBH0178A","PREPARATORIA OFICIAL"
735,"15ECB0012Y","Bachilleres"
736,"15EBH0155Q","PREPARATORIA OFICIAL"
737,"15EBH0334B","PREPARATORIA OFICIAL"
738,"15EBH0326T","ANEXA A LA NORMAL "
739,"15EBH0074F","PREPARATORIA OFICIAL"
740,"15EBH0086K","PREPARATORIA OFICIAL"
741,"15EBH0091W","PREPARATORIA OFICIAL"
742,"15EBH0166W","PREPARATORIA OFICIAL"
743,"15EBH0175D","PREPARATORIA OFICIAL"
744,"15EBH0191V","PREPARATORIA OFICIAL"
745,"15EBP0018W","ANEXA A LA NORMAL "
746,"15EBP0017X","ANEXA A LA NORMAL "
747,"15EBP0019V","ANEXA A LA NORMAL "
748,"15EBP0016Y","ANEXA A LA NORMAL "
749,"15EBH0064Z","PREPARATORIA OFICIAL"
750,"15EBH0156P","ANEXA A LA NORMAL "
751,"15EBH0221Z","PREPARATORIA OFICIAL"
752,"15EBH0106H","PREPARATORIA OFICIAL"
753,"15EBH0151U","PREPARATORIA OFICIAL"
754,"15EBH0306F","PREPARATORIA OFICIAL"
755,"15EBH0096R","PREPARATORIA OFICIAL"
756,"15EBH0152T","PREPARATORIA OFICIAL"
757,"15EBH0196Q","PREPARATORIA OFICIAL"
758,"15EBH0345H","ANEXA A LA NORMAL "
759,"15EBH0147H","PREPARATORIA OFICIAL"
760,"15EBH0193T","PREPARATORIA OFICIAL"
761,"15EBH0200M","PREPARATORIA OFICIAL"
762,"15EBH0322X","ANEXA A LA NORMAL "
763,"15EBH0090X","PREPARATORIA OFICIAL"
764,"15EBH0100N","PREPARATORIA OFICIAL"
765,"15EBH0133E","PREPARATORIA OFICIAL"
766,"15EBH0201L","PREPARATORIA OFICIAL"
767,"15EBH0206G","PREPARATORIA OFICIAL"
768,"15EBH0184L","PREPARATORIA OFICIAL"
769,"15EBH0192U","PREPARATORIA OFICIAL"
770,"15ECB0004P","Bachilleres"
771,"15EBH0244J","PREPARATORIA OFICIAL"
772,"15EBH0262Z","PREPARATORIA OFICIAL"
773,"15EBH0252S","PREPARATORIA OFICIAL"
774,"15EBH0251T","PREPARATORIA OFICIAL"
775,"15EBH0253R","PREPARATORIA OFICIAL"
776,"15EBH0264X","PREPARATORIA OFICIAL"
777,"15EBH0249E","PREPARATORIA OFICIAL"
778,"15EBH0247G","PREPARATORIA OFICIAL"
779,"15EBH0248F","PREPARATORIA OFICIAL"
780,"15ECB0026A","Bachilleres"
781,"15EBH0250U","PREPARATORIA OFICIAL"
782,"15EBH0377Z","PREPARATORIA OFICIAL"
783,"15EBH0255P","PREPARATORIA OFICIAL"
784,"15ECB0028Z","Bachilleres"
785,"15EBH0268T","PREPARATORIA OFICIAL"
786,"15EBH0364W","PREPARATORIA OFICIAL"
787,"15ECB0029Y","Bachilleres"
788,"15EBH0281N","PREPARATORIA OFICIAL"
789,"15EBH0276B","PREPARATORIA OFICIAL"
790,"15EBH0282M","PREPARATORIA OFICIAL"
791,"15EBH0291U","PREPARATORIA OFICIAL"
792,"15DCB0003R","Bachilleres"
793,"15EBH0286I","PREPARATORIA OFICIAL"
794,"15EBH0367T","PREPARATORIA OFICIAL"
795,"15EBH0301K","PREPARATORIA OFICIAL"
796,"15EBH0337Z","PREPARATORIA OFICIAL"
797,"15EBH0363X","PREPARATORIA OFICIAL"
798,"15EBH0302J","PREPARATORIA OFICIAL"
799,"15EBH0297O","PREPARATORIA OFICIAL"
801,"15ECT0021V","CBT"
802,"15ECT0086E","CBT"
803,"15ECT0045E","CBT"
804,"15ETC0011O","CECYTEM"
805,"15ECT0035Y","CECYTEM"
806,"15ETC0005D","CECYTEM"
807,"15UBH0045B","CBT"
808,"15ECT0076Y","CBT"
809,"15ETC0032A","CECYTEM"
810,"15ETC0021V","CBT"
811,"15ECT0068P","CBT"
812,"15ECT0077X","CBT"
813,"15ETC0020W","CECYTEM"
814,"15ECT0032A","CBT"
815,"15ECT0041I","CBT"
815,"15ECT0022U","CBT"
816,"15ECT0062V","CBT"
817,"15ETC0036X","CBT"
818,"15ECT0047C","CECYTEM"
818,"15ECT0048B","CECYTEM"
819,"15ECT0067Q","CECYTEM"
820,"15ECT0071C","CBT"
820,"15ECT0088C","CBT"
821,"15ECT0019G","CBT"
822,"15ETC0013M","CBT"
823,"15ETC0018H","CECYTEM"
824,"15ETC0025R","CECYTEM"
825,"15ECT0053N","CECYTEM"
826,"15ETC0006C","CECYTEM"
827,"15ECT0020W","CECYTEM"
828,"15ECT0063U","CECYTEM"
829,"15ECT0075Z","CBT"
830,"15ECT0049A","CBT"
831,"15ETC0029N","CBT"
832,"15ETC0022U","CBT"
833,"15ECT0055L","CBT"
834,"15ETC0044F","CBT"
835,"15ETC0043G","CECYTEM"
836,"15ETC0047C","CECYTEM"
837,"15ETC0049A","CECYTEM"
838,"15ETC0051P","CBT"
840,"15ETC0052O","CBT"
841,"15ECT0098J","CBT"
841,"15ECT0099I","CBT"
