"NOMBRE DEL ESCUELA","CLAVE DE LA ESCUELA","TURNO","EXTENSIÓN","ENTIDAD","NOMBRE DEL MUNICIPIO","NOMBRE DE LA LOCALIDAD","SOSTENIMIENTO","MODALIDAD","GRADO DE MARGINACIÓN DE LA LOCALIDAD DONDE SE UBICA EL CCT","ALUMNOS PROGRAMADOS PARA SER EVALUADOS","ALUMNOS EVALUADOS","% DE ALUMNOS EVALUADOS EN LA ESCUELA EN EL 2010","% DE ALUMNOS EVALUADOS MENOR AL 80%","ALUMNOS QUE CONTESTARON 50% O MÁS PREGUNTAS DE COMPRENSIÓN LECTORA","ALUMNOS QUE CONTESTARON 50% O MÁS PREGUNTAS DE HABILIDAD MATEMÁTICA","INSUFICIENTE","ELEMENTAL","BUENO","EXCELENTE","INSUFICIENTE","ELEMENTAL","BUENO","EXCELENTE"
"ACADEMIA DE LA DANZA MEXICANA","09DAL00040","MATUTINO",,"DISTRITO FEDERAL","COYOACAN","CHURUBUSCO","PÚBLICO","BACHILLERATO GENERAL","MUY BAJO",15,14,93.33,"N",14,14,"  0.0"," 14.3"," 57.1"," 28.6"," 28.6"," 42.9"," 28.6","  0.0"
"ESCUELA NACIONAL DE DANZA CLASICA","09DAL0012X","VESPERTINO",,"DISTRITO FEDERAL","COYOACAN","COUNTRY CLUB CHURUBUSCO","PÚBLICO","BACHILLERATO GENERAL","MUY BAJO",8,8,100,"N",8,8," 12.5"," 25.0"," 50.0"," 12.5"," 75.0"," 12.5"," 12.5","  0.0"
"ESCUELA NACIONAL DE DANZA CONTEMPORANEA","09DAL0015U","VESPERTINO",,"DISTRITO FEDERAL","COYOACAN","COUNTRY CLUB CHURUBUSCO","PÚBLICO","BACHILLERATO GENERAL","MUY BAJO",8,8,100,"N",8,8,"  0.0"," 25.0"," 75.0","  0.0"," 25.0"," 75.0","  0.0","  0.0"
"ESCUELA NACIONAL DE DANZA FOLKLÓRICA","09DAL0018R","VESPERTINO",,"DISTRITO FEDERAL","MIGUEL HIDALGO","POLANCO III SECCION","PÚBLICO","BACHILLERATO GENERAL","MUY BAJO",3,3,100,"N",3,3,"  0.0","  0.0"," 66.7"," 33.3","  0.0"," 66.7"," 33.3","  0.0"
"CEDART ""DIEGO RIVERA""","09DAR0007F","MATUTINO",,"DISTRITO FEDERAL","COYOACAN","CAMPESTRE CHURUBUSCO","PÚBLICO","BACHILLERATO GENERAL","MUY BAJO",45,44,97.78,"N",44,42,"  0.0","  6.8"," 56.8"," 36.4"," 23.8"," 54.8"," 16.7","  4.8"
"CEDART  LUIS S.S.","09DAR0008E","MATUTINO",,"DISTRITO FEDERAL","CUAUHTEMOC","JUAREZ","PÚBLICO","BACHILLERATO GENERAL","MUY BAJO",91,87,95.6,"N",87,81,"  2.3"," 18.4"," 57.5"," 21.8"," 29.6"," 54.3"," 16.0","  0.0"
"CEDART FRIDA KAHLO","09DAR0009D","MATUTINO",,"DISTRITO FEDERAL","CUAUHTEMOC","REVOLUCION O TABACALERA","PÚBLICO","BACHILLERATO GENERAL","MUY BAJO",72,31,43.06,"S",31,20,"  0.0"," 12.9"," 67.7"," 19.4"," 25.0"," 55.0"," 20.0","  0.0"
"CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA","09DBP0001M","MATUTINO",,"DISTRITO FEDERAL","MIGUEL HIDALGO","UN HOGAR PARA NOSOTROS","PÚBLICO","BACHILLERATO GENERAL","MUY BAJO",306,257,83.99,"N",251,226,"  4.4"," 24.3"," 60.6"," 10.8"," 35.0"," 46.5"," 16.4","  2.2"
"CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA","09DBP0001M","VESPERTINO",,"DISTRITO FEDERAL","MIGUEL HIDALGO","UN HOGAR PARA NOSOTROS","PÚBLICO","BACHILLERATO GENERAL","MUY BAJO",301,267,88.7,"N",265,250,"  5.7"," 29.4"," 58.9","  6.0"," 40.8"," 52.8","  6.0","  0.4"
"LIC. JESUS REYES HEROLES","09DBP0002L","MATUTINO",,"DISTRITO FEDERAL","ALVARO OBREGÓN","AXOTLA","PÚBLICO","BACHILLERATO GENERAL","MUY BAJO",363,269,74.1,"S",264,254,"  3.0"," 28.8"," 60.6","  7.6"," 33.5"," 53.9"," 11.8","  0.8"
