"NOMBRE DEL ESCUELA","CLAVE DE LA ESCUELA","TURNO","EXTENSIÓN","ENTIDAD","NOMBRE DEL MUNICIPIO","NOMBRE DE LA LOCALIDAD","SOSTENIMIENTO","MODALIDAD","GRADO DE MARGINACIÓN DE LA LOCALIDAD DONDE SE UBICA EL CCT","ALUMNOS PROGRAMADOS PARA SER EVALUADOS","ALUMNOS EVALUADOS","% DE ALUMNOS EVALUADOS EN LA ESCUELA EN EL 2010","% DE ALUMNOS EVALUADOS MENOR AL 80%","ALUMNOS QUE CONTESTARON 50% O MÁS PREGUNTAS DE COMPRENSIÓN LECTORA","ALUMNOS QUE CONTESTARON 50% O MÁS PREGUNTAS DE HABILIDAD MATEMÁTICA","INSUFICIENTE","ELEMENTAL","BUENO","EXCELENTE","INSUFICIENTE","ELEMENTAL","BUENO","EXCELENTE"
"PREPARATORIA REGIONAL DE ECTEPEC","15CBH0019P","MATUTINO",,"MÉXICO","ECATEPEC DE MORELOS","ECATEPEC DE MORELOS","PRIVADO","BACHILLERATO GENERAL","MUY BAJO",49,46,93.88,"N",45,45," 11.1"," 51.1"," 31.1","  6.7"," 55.6"," 40.0","  4.4","  0.0"
"CENTRO DE ESTUDIOS DE BACHILLERATO","15DBP0002W","MATUTINO",,"MÉXICO","IXTLAHUACA","IXTLAHUACA DE RAYON","PÚBLICO","BACHILLERATO GENERAL","MUY BAJO",25,25,100,"N",25,25,"  4.0"," 28.0"," 52.0"," 16.0"," 40.0"," 40.0"," 16.0","  4.0"
"CENTRO DE ESTUDIOS DE BACHILLERATO","15DBP0002W","VESPERTINO",,"MÉXICO","IXTLAHUACA","IXTLAHUACA DE RAYON","PÚBLICO","BACHILLERATO GENERAL","MUY BAJO",36,33,91.67,"N",33,32,"  3.0"," 33.3"," 60.6","  3.0"," 43.8"," 53.1","  3.1","  0.0"
"COLEGIO DE BACHILLERES PLANTEL 5 SATÉLITE","15DCB0001T","MATUTINO",,"MÉXICO","TLALNEPANTLA DE BAZ","TLALNEPANTLA","PÚBLICO","BACHILLERATO GENERAL","MUY BAJO",584,381,65.24,"S",373,348,"  1.1"," 16.6"," 68.9"," 13.4"," 21.0"," 58.3"," 18.1","  2.6"
"COLEGIO DE BACHILLERES PLANTEL 5 SATÉLITE","15DCB0001T","VESPERTINO",,"MÉXICO","TLALNEPANTLA DE BAZ","TLALNEPANTLA","PÚBLICO","BACHILLERATO GENERAL","MUY BAJO",447,282,63.09,"S",267,271,"  7.5"," 22.8"," 62.2","  7.5"," 41.0"," 51.7","  6.3","  1.1"
"COLEGIO DE BACHILLERES PLANTEL 12 NEZAHUALCOYOTL","15DCB0002S","MATUTINO",,"MÉXICO","NEZAHUALCOYOTL","CIUDAD NEZAHUALCOYOTL","PÚBLICO","BACHILLERATO GENERAL","MUY BAJO",3,2,66.67,"S",2,2,"  0.0"," 50.0"," 50.0","  0.0","  0.0","100.0","  0.0","  0.0"
"COLEGIO DE BACHILLERES PLANTEL 12 NEZAHUALCOYOTL","15DCB0002S","MATUTINO","EXTENSION 1","MÉXICO","NEZAHUALCOYOTL","SATÉLITE","PÚBLICO","BACHILLERATO GENERAL","MUY BAJO",551,442,80.22,"N",428,417,"  8.6"," 34.6"," 54.7","  2.1"," 42.0"," 52.5","  5.3","  0.2"
"COLEGIO DE BACHILLERES PLANTEL 12 NEZAHUALCOYOTL","15DCB0002S","VESPERTINO",,"MÉXICO","NEZAHUALCOYOTL","CIUDAD NEZAHUALCOYOTL","PÚBLICO","BACHILLERATO GENERAL","MUY BAJO",1,1,100,"N",1,1,"  0.0","  0.0","100.0","  0.0","100.0","  0.0","  0.0","  0.0"
"COLEGIO DE BACHILLERES PLANTEL 12 NEZAHUALCOYOTL","15DCB0002S","VESPERTINO","EXTENSION 1","MÉXICO","NEZAHUALCOYOTL","SATÉLITE","PÚBLICO","BACHILLERATO GENERAL","MUY BAJO",360,255,70.83,"S",242,222," 15.7"," 41.7"," 40.5","  2.1"," 62.6"," 35.6","  1.8","  0.0"
"PLANTEL 19 COLEGIO DE BACHILLERES","15DCB0003R","MATUTINO","EXTENSION 1","MÉXICO","ECATEPEC DE MORELOS","SATÉLITE","PÚBLICO","BACHILLERATO GENERAL","MUY BAJO",266,233,87.59,"N",225,225,"  2.2"," 21.8"," 65.3"," 10.7"," 22.7"," 59.1"," 16.0","  2.2"
