ent,nombre,cct,turno,2012,2012,INSUFICIENTE,ELEMENTAL,BUENO,EXCELENTE
15,CENTRO DE ESTUDIOS DE BACHILLERATO,15DBP0002W,MATUTINO,209,198, 13.4, 58.8, 19.1,  8.8
15,CENTRO DE ESTUDIOS DE BACHILLERATO,15DBP0002W,VESPERTINO,108,101, 56.1, 38.8,  5.1,  0.0
15,COLEGIO DE BACHILLERES PLANTEL 5,15DCB0001T,MATUTINO,978,925, 24.7, 60.3, 13.7,  1.3
15,COLEGIO DE BACHILLERES PLANTEL 5,15DCB0001T,VESPERTINO,548,464, 34.7, 52.7, 10.4,  2.2
15,COLEGIO DE BACHILLERES PLANTEL 12 NEZAHUALCÓYOTL,15DCB0002S,MATUTINO,786,697, 49.4, 42.7,  7.0,  0.9
15,COLEGIO DE BACHILLERES PLANTEL 12 NEZAHUALCÓYOTL,15DCB0002S,VESPERTINO,442,336, 67.0, 25.8,  7.2,  0.0
15,COLEGIO DE BACHILLERES PLANTEL 19,15DCB0003R,MATUTINO,374,326, 36.2, 51.2, 11.6,  1.0
15,COLEGIO DE BACHILLERES PLANTEL 19,15DCB0003R,VESPERTINO,272,239, 43.9, 47.2,  7.9,  0.9
15,CBTIS #133 DR. MANUEL VELASCO SUAREZ,15DCT0001I,MATUTINO,592,256, 30.9, 51.2, 14.8,  3.1
15,CBTIS #133 DR. MANUEL VELASCO SUAREZ,15DCT0001I,VESPERTINO,354,153, 38.3, 51.1,  9.2,  1.4
15,"CETIS NO. 35 """"MIGUEL HIDALGO Y COSTIL",15DCT0003G,MATUTINO,235,223, 15.8, 48.4, 27.6,  8.1
15,"CETIS NO. 35 """"MIGUEL HIDALGO Y COSTIL",15DCT0003G,VESPERTINO,189,169, 38.0, 39.8, 13.3,  9.0
15,"JOSE MARTINEZ DE LOS REYES """"EL PIPILA"""" CETIS N",15DCT0004F,MATUTINO,191,175, 26.9, 55.6, 11.7,  5.8
15,"JOSE MARTINEZ DE LOS REYES """"EL PIPILA"""" CETIS N",15DCT0004F,VESPERTINO,155,140, 47.5, 37.4, 12.9,  2.2
15,CENTRO DE ESTUDIOS TECNOLOGICO INDUSTRIAL DE SERVICIOS 37,15DCT0005E,MATUTINO,272,229, 33.8, 48.6, 16.2,  1.4
15,CENTRO DE ESTUDIOS TECNOLOGICO INDUSTRIAL DE SERVICIOS 37,15DCT0005E,VESPERTINO,257,231, 42.5, 42.5, 12.1,  2.9
15,"CETIS 64 GRAL. LÀZARO CÀRDENAS DEL RÌO, TOLUCA",15DCT0006D,MATUTINO,192,171, 32.7, 49.7, 13.9,  3.6
15,"CETIS 64 GRAL. LÀZARO CÀRDENAS DEL RÌO, TOLUCA",15DCT0006D,VESPERTINO,153,139, 42.9, 47.4,  8.3,  1.5
15,CENTRO DE ESTUDIOS TECNOLÓGICOS INDUSTRIAL Y DE SERVICIOS NO. 65,15DCT0007C,MATUTINO,548,264, 28.5, 51.0, 18.8,  1.7
15,CENTRO DE ESTUDIOS TECNOLÓGICOS INDUSTRIAL Y DE SERVICIOS NO. 65,15DCT0007C,VESPERTINO,322,139, 45.2, 46.0,  8.1,  0.8
15,CETIS 92 JUANA BELEN GUTIEREZ DE MENDOZA,15DCT0008B,MATUTINO,490,220, 46.2, 39.7, 11.1,  3.0
15,CETIS 94 PEDRO ASCENCIO DE ALQUISIRAS,15DCT0009A,MATUTINO,99,93, 28.3, 44.6, 10.9, 16.3
15,CETIS NO 95 MARIANO ESCOBEDO,15DCT0010Q,MATUTINO,242,225, 20.7, 45.5, 25.2,  8.6
15,"CETIS. 96 """"EMILIANO ZAPATA SALAZ",15DCT0011P,MATUTINO,732,344, 35.1, 47.8, 15.6,  1.5
15,CETIS NO. 97 DR. PEDRO DANIEL MARTINEZ,15DCT0012O,MATUTINO,202,193, 28.6, 46.6, 20.1,  4.8
15,CETIS 118,15DCT0013N,MATUTINO,174,165, 41.1, 38.7, 17.8,  2.5
15,"CBTIS NO. 6  """"LEONA VICAR",15DCT0148B,MATUTINO,912,426, 27.0, 49.6, 20.0,  3.4
15,"CBTIS NO. 6  """"LEONA VICAR",15DCT0148B,VESPERTINO,478,222, 33.5, 48.8, 15.3,  2.3
15,CBTIS 29 JOSE MA. MORELOS Y PAVON,15DCT0161W,MATUTINO,896,367, 15.0, 47.6, 29.6,  7.8
15,CBTIS 29 JOSE MA. MORELOS Y PAVON,15DCT0161W,VESPERTINO,798,389, 23.1, 54.6, 19.2,  3.1
15,CBTIS 50 DR. GUSTAVO BAZ PRADA,15DCT0210O,MATUTINO,375,289, 25.4, 44.4, 21.1,  9.2
15,CBTIS 50 DR. GUSTAVO BAZ PRADA,15DCT0210O,VESPERTINO,360,312, 41.0, 47.7,  8.8,  2.5
15,CBTIS NO. 160  ING. VICTOR BRAVO AHUJA,15DCT0211N,MATUTINO,558,257, 21.5, 53.4, 16.6,  8.5
15,CBTIS NO. 160  ING. VICTOR BRAVO AHUJA,15DCT0211N,VESPERTINO,424,162, 28.9, 53.5, 14.1,  3.5
15,CBTIS 161 IGNACIO LOPEZ RAYON TOLUCA,15DCT0212M,MATUTINO,81,75, 34.7, 49.3, 14.7,  1.3
15,CBTIS 161 IGNACIO LOPEZ RAYON TOLUCA,15DCT0212M,VESPERTINO,214,202, 34.9, 53.3,  8.2,  3.6
15,CBTIS 180  LIC. ANDRES MOLINA ENRIQUEZ,15DCT0213L,MATUTINO,173,167, 37.3, 40.4, 16.3,  6.0
15,"CBTIS 202, JOSE VASCONCELOS",15DCT0214K,MATUTINO,314,286, 21.2, 61.3, 15.6,  1.9
15,"CBTIS 202, JOSE VASCONCELOS",15DCT0214K,VESPERTINO,226,202, 26.2, 64.7,  9.1,  0.0
15,"CBTIS 203 IGNACIO M. BETETA QUINTANA, METEPEC",15DCT0215J,MATUTINO,233,226,  0.0,  9.7, 32.7, 57.5
15,"CBTIS 203 IGNACIO M. BETETA QUINTANA, METEPEC",15DCT0215J,VESPERTINO,157,145,  2.8, 40.3, 45.1, 11.8
15,CBTIS 227,15DCT0216I,MATUTINO,321,282, 44.0, 46.8,  7.7,  1.6
15,CBTIS 227,15DCT0216I,VESPERTINO,147,131, 45.8, 47.5,  6.7,  0.0
15,"C.E.T.I.S. NO. 141 """"DR. MANUEL GAM",15DCT0217H,MATUTINO,350,161, 17.8, 43.3, 28.0, 10.8
15,"C.E.T.I.S. NO. 141 """"DR. MANUEL GAM",15DCT0217H,VESPERTINO,156,68, 32.3, 45.2, 22.6,  0.0
15,"CECYT NUM. 3, ESTANISLAO RAMIREZ RUIZ",15DCT0218G,MATUTINO,490,455,  0.9, 10.9, 28.9, 59.3
15,"CECYT NUM. 3, ESTANISLAO RAMIREZ RUIZ",15DCT0218G,VESPERTINO,489,413,  0.3, 10.1, 33.2, 56.4
15,"CETIS 165  GERARDO MURILLO """"DR. A",15DET0165Q,MATUTINO,103,97, 16.1, 58.1, 19.4,  6.5
15,"CETIS 165  GERARDO MURILLO """"DR. A",15DET0165Q,VESPERTINO,88,81, 44.2, 45.5, 10.4,  0.0
15,CETIS.23 JOSE VICENTE VILLADA,15DET0396H,MATUTINO,197,191, 20.4, 50.3, 18.8, 10.5
15,CETIS.23 JOSE VICENTE VILLADA,15DET0396H,VESPERTINO,165,151, 29.7, 47.3, 17.6,  5.4
15,CETIS 119 GERTRUDIS BOCANEGRA LAZO,15DET0404Z,MATUTINO,254,241, 30.6, 59.6,  8.5,  1.3
15,CETIS 119 GERTRUDIS BOCANEGRA LAZO,15DET0404Z,VESPERTINO,159,143, 25.9, 54.7, 14.4,  5.0
15,ALMOLOYA DEL RÍO,15DPT0001M,VESPERTINO,108,95, 31.6, 47.4, 18.9,  2.1
15,ATLACOMULCO,15DPT0002L,VESPERTINO,175,170, 11.2, 43.5, 29.4, 15.9
15,CHIMALHUACÁN,15DPT0003K,MATUTINO,126,118, 42.6, 40.9, 13.9,  2.6
15,CHIMALHUACÁN,15DPT0003K,VESPERTINO,35,29, 24.1, 58.6, 10.3,  6.9
15,CIUDAD AZTECA,15DPT0004J,MATUTINO,128,123, 29.4, 54.6, 14.3,  1.7
15,CIUDAD AZTECA,15DPT0004J,VESPERTINO,96,79, 40.8, 38.0, 16.9,  4.2
15,VALLE DE ARAGON,15DPT0005I,MATUTINO,235,207, 51.3, 40.6,  6.6,  1.5
